dteday,hr,cnt,temp,weathersit
2011-01-21,20,53,0.1,1
2011-01-21,21,41,0.08,1
2011-01-21,22,34,0.06,1
2011-01-21,23,27,0.06,1
2011-01-22,0,13,0.04,1
2011-01-22,1,12,0.04,2
2011-01-22,2,11,0.04,2
2011-01-22,3,7,0.04,2
2011-01-22,4,3,0.02,2
2011-01-22,6,2,0.02,2
2011-01-22,7,8,0.02,1
2011-01-22,8,27,0.02,1
2011-01-22,9,40,0.04,1
2011-01-22,10,53,0.04,2
2011-01-22,11,63,0.06,2
2011-01-22,12,70,0.06,2
2011-01-22,13,84,0.08,1
2011-01-22,14,75,0.1,1
2011-01-22,15,103,0.12,1
2011-01-22,16,83,0.12,1
2011-01-22,17,67,0.12,1
2011-01-22,18,54,0.08,1
2011-01-22,19,59,0.08,1
2011-01-22,20,45,0.06,1
2011-01-22,21,39,0.06,1
2011-01-22,22,30,0.06,1
2011-01-22,23,33,0.04,1
2011-01-23,0,22,0.04,1
2011-01-23,1,13,0.04,1
2011-01-23,2,18,0.02,1
2011-01-23,3,5,0.02,1
2011-01-23,5,3,0.04,2
2011-01-23,6,1,0.04,2
2011-01-23,7,2,0.08,1
2011-01-23,8,19,0.06,1
2011-01-23,9,28,0.1,1
2011-01-23,10,58,0.14,1
2011-01-23,11,99,0.14,1
2011-01-23,12,116,0.16,1
2011-01-23,13,87,0.14,1
2011-01-23,14,110,0.16,1
2011-01-23,15,77,0.16,1
2011-01-23,16,65,0.16,1
2011-01-23,17,55,0.14,1
2011-01-23,18,49,0.12,1
2011-01-23,19,50,0.12,1
2011-01-23,20,35,0.1,1
2011-01-23,21,25,0.1,1
2011-01-23,22,28,0.08,1
2011-01-23,23,21,0.06,1
2011-01-24,0,7,0.06,1
2011-01-24,1,1,0.04,1
2011-01-24,3,1,0.04,1
2011-01-24,4,1,0.02,1
2011-01-24,5,5,0.02,1
2011-01-24,6,15,0.02,1
2011-01-24,7,84,0.02,1
2011-01-24,8,177,0.04,1
2011-01-24,9,102,0.06,1
2011-01-24,10,40,0.1,1
2011-01-24,11,46,0.1,1
2011-01-24,12,63,0.12,2
2011-01-24,13,60,0.14,2
2011-01-24,14,45,0.14,2
2011-01-24,15,57,0.16,1
2011-01-24,16,70,0.16,1
2011-01-24,17,184,0.14,1
2011-01-24,18,153,0.14,1
2011-01-24,19,106,0.14,1
2011-01-24,20,81,0.14,1
2011-01-24,21,59,0.14,1
2011-01-24,22,35,0.14,2
2011-01-24,23,24,0.16,2
2011-01-25,0,9,0.16,2
2011-01-25,1,5,0.16,2
2011-01-25,2,2,0.16,1
2011-01-25,4,1,0.14,1
2011-01-25,5,9,0.14,1
2011-01-25,6,36,0.16,1
2011-01-25,7,108,0.16,1
2011-01-25,8,238,0.16,2
2011-01-25,9,144,0.2,2
2011-01-25,10,55,0.22,2
2011-01-25,11,61,0.24,2
2011-01-25,12,106,0.26,2
2011-01-25,13,93,0.26,2
2011-01-25,14,68,0.3,2
2011-01-25,15,84,0.32,2
2011-01-25,16,116,0.32,2
2011-01-25,17,222,0.3,1
2011-01-25,18,225,0.3,2
2011-01-25,19,146,0.26,2
2011-01-25,20,119,0.24,1
2011-01-25,21,45,0.24,1
2011-01-25,22,53,0.22,1
2011-01-25,23,40,0.22,2
2011-01-26,0,17,0.22,2
2011-01-26,1,5,0.24,2
2011-01-26,2,10,0.22,3
2011-01-26,5,1,0.2,3
2011-01-26,6,8,0.2,3
2011-01-26,7,30,0.22,3
2011-01-26,8,72,0.22,3
2011-01-26,9,58,0.22,3
2011-01-26,10,28,0.22,3
2011-01-26,11,41,0.22,3
2011-01-26,12,48,0.22,3
2011-01-26,13,47,0.22,3
2011-01-26,14,36,0.22,3
2011-01-26,15,43,0.22,3
2011-01-26,16,36,0.22,4
2011-01-26,17,26,0.2,3
2011-01-27,16,24,0.22,1
2011-01-27,17,84,0.22,1
2011-01-27,18,104,0.2,1
2011-01-27,19,79,0.2,1
2011-01-27,20,59,0.18,1
2011-01-27,21,38,0.18,1
2011-01-27,22,27,0.18,1
2011-01-27,23,16,0.18,1
2011-01-28,0,9,0.2,2
2011-01-28,1,3,0.2,2
2011-01-28,2,2,0.2,2
2011-01-28,3,1,0.2,2
2011-01-28,5,4,0.18,2
2011-01-28,6,16,0.18,2
2011-01-28,7,60,0.16,2
2011-01-28,8,157,0.16,2
2011-01-28,9,101,0.18,3
2011-01-28,10,49,0.18,3
2011-01-28,11,30,0.18,3
2011-01-28,12,29,0.18,3
2011-01-28,13,31,0.18,3
2011-01-28,14,38,0.22,3
2011-01-28,15,41,0.2,2
2011-01-28,16,80,0.22,1
2011-01-28,17,149,0.24,1
2011-01-28,18,109,0.24,1
2011-01-28,19,89,0.24,2
2011-01-28,20,62,0.24,2
2011-01-28,21,58,0.22,2
2011-01-28,22,26,0.24,1
2011-01-28,23,23,0.24,1
2011-01-29,0,28,0.22,1
2011-01-29,1,20,0.22,1
2011-01-29,2,15,0.22,1
2011-01-29,3,8,0.2,1
2011-01-29,4,3,0.16,1
2011-01-29,6,2,0.16,1
2011-01-29,7,5,0.16,1
2011-01-29,8,34,0.18,1
2011-01-29,9,34,0.18,1
2011-01-29,10,55,0.18,2
2011-01-29,11,64,0.18,2
2011-01-29,12,78,0.2,2
2011-01-29,13,65,0.22,2
2011-01-29,14,99,0.22,2
2011-01-29,15,120,0.22,1
2011-01-29,16,107,0.24,1
2011-01-29,17,91,0.24,1
2011-01-29,18,68,0.22,1
2011-01-29,19,58,0.22,2
2011-01-29,20,43,0.18,1
2011-01-29,21,36,0.18,1
2011-01-29,22,32,0.16,1
2011-01-29,23,33,0.16,1
2011-01-30,0,33,0.16,1
2011-01-30,1,29,0.14,1
2011-01-30,2,11,0.16,1
2011-01-30,3,8,0.14,1
2011-01-30,4,1,0.14,1
2011-01-30,5,3,0.14,1
2011-01-30,7,3,0.14,1
2011-01-30,8,12,0.14,2
2011-01-30,9,38,0.16,2
2011-01-30,10,64,0.18,2
2011-01-30,11,59,0.22,1
2011-01-30,12,97,0.3,1
2011-01-30,13,84,0.28,1
2011-01-30,14,122,0.28,1
2011-01-30,15,109,0.3,1
2011-01-30,16,123,0.3,1
2011-01-30,17,77,0.3,1
2011-01-30,18,65,0.26,1
2011-01-30,19,55,0.26,1
2011-01-30,20,33,0.26,2
2011-01-30,21,28,0.24,2
2011-01-30,22,21,0.24,2
2011-01-30,23,21,0.24,2
2011-01-31,0,7,0.24,2
2011-01-31,1,7,0.22,1
2011-01-31,2,1,0.22,1
2011-01-31,3,2,0.22,1
2011-01-31,4,2,0.2,1
2011-01-31,5,8,0.18,1
2011-01-31,6,37,0.16,1
2011-01-31,7,72,0.16,2
2011-01-31,8,185,0.16,2
2011-01-31,9,112,0.16,2
2011-01-31,10,69,0.16,2
2011-01-31,11,48,0.16,2
2011-01-31,12,68,0.18,2
2011-01-31,13,54,0.16,2
2011-01-31,14,86,0.18,2
2011-01-31,15,44,0.16,2
2011-01-31,16,86,0.16,2
2011-01-31,17,161,0.16,2
2011-01-31,18,156,0.16,2
2011-01-31,19,111,0.3,1
2011-01-31,20,78,0.16,3
2011-01-31,21,56,0.16,3
2011-01-31,22,34,0.16,2
2011-01-31,23,17,0.16,2
2011-02-01,0,8,0.16,2
2011-02-01,1,3,0.16,2
2011-02-01,2,2,0.16,2
2011-02-01,3,2,0.16,2
2011-02-01,5,3,0.14,3
2011-02-01,6,22,0.14,3
2011-02-01,7,52,0.16,3
2011-02-01,8,135,0.16,3
2011-02-01,9,116,0.16,2
2011-02-01,10,47,0.16,2
2011-02-01,11,51,0.18,2
2011-02-01,12,55,0.2,2
2011-02-01,13,52,0.2,2
2011-02-01,14,54,0.22,2
2011-02-01,15,52,0.24,2
2011-02-01,16,64,0.24,2
2011-02-01,17,176,0.24,2
2011-02-01,18,168,0.24,2
2011-02-01,19,108,0.24,2
2011-02-01,20,74,0.22,2
2011-02-01,21,64,0.22,2
2011-02-01,22,36,0.22,2
2011-02-01,23,16,0.2,3
2011-02-02,0,2,0.22,3
2011-02-02,1,3,0.22,3
2011-02-02,2,4,0.22,3
2011-02-02,3,1,0.22,3
2011-02-02,4,1,0.22,3
2011-02-02,5,3,0.22,3
2011-02-02,6,18,0.22,3
2011-02-02,7,49,0.22,3
2011-02-02,8,155,0.22,3
2011-02-02,9,123,0.24,2
2011-02-02,10,61,0.22,2
2011-02-02,11,52,0.24,2
2011-02-02,12,64,0.24,2
2011-02-02,13,75,0.34,1
2011-02-02,14,63,0.38,1
2011-02-02,15,76,0.38,1
2011-02-02,16,103,0.36,1
2011-02-02,17,190,0.36,1
2011-02-02,18,182,0.34,1
2011-02-02,19,91,0.28,1
2011-02-02,20,75,0.24,1
2011-02-02,21,63,0.22,1
2011-02-02,22,40,0.22,1
2011-02-02,23,32,0.2,1
2011-02-03,0,12,0.2,1
2011-02-03,1,5,0.2,1
2011-02-03,2,2,0.18,1
2011-02-03,3,1,0.18,1
2011-02-03,5,2,0.16,1
2011-02-03,6,39,0.16,1
2011-02-03,7,87,0.14,1
2011-02-03,8,188,0.14,1
2011-02-03,9,133,0.16,1
2011-02-03,10,52,0.18,1
2011-02-03,11,64,0.18,1
2011-02-03,12,69,0.2,1
2011-02-03,13,51,0.2,1
2011-02-03,14,47,0.22,1
2011-02-03,15,60,0.22,1
2011-02-03,16,78,0.22,1
2011-02-03,17,175,0.2,1
2011-02-03,18,147,0.2,1
2011-02-03,19,96,0.2,1
2011-02-03,20,109,0.2,1
2011-02-03,21,54,0.18,1
2011-02-03,22,41,0.18,1
2011-02-03,23,38,0.2,1
2011-02-04,0,13,0.2,2
2011-02-04,1,7,0.16,2
2011-02-04,2,1,0.14,2
2011-02-04,3,1,0.14,2
2011-02-04,5,7,0.14,2
2011-02-04,6,28,0.16,2
2011-02-04,7,87,0.14,1
2011-02-04,8,220,0.14,1
2011-02-04,9,127,0.16,2
2011-02-04,10,51,0.2,2
2011-02-04,11,64,0.22,1
2011-02-04,12,86,0.24,2
2011-02-04,13,82,0.26,2
2011-02-04,14,91,0.28,2
2011-02-04,15,90,0.28,2
2011-02-04,16,99,0.3,2
2011-02-04,17,205,0.26,2
2011-02-04,18,155,0.24,2
2011-02-04,19,103,0.24,2
2011-02-04,20,71,0.24,2
2011-02-04,21,43,0.24,2
2011-02-04,22,46,0.24,2
2011-02-04,23,31,0.24,2
2011-02-05,0,39,0.24,2
2011-02-05,1,18,0.24,2
2011-02-05,2,17,0.24,2
2011-02-05,3,11,0.24,2
2011-02-05,4,8,0.22,3
2011-02-05,5,9,0.2,3
2011-02-05,6,4,0.2,3
2011-02-05,7,4,0.22,3
2011-02-05,8,10,0.2,3
2011-02-05,9,20,0.2,3
2011-02-05,10,34,0.2,3
2011-02-05,11,47,0.22,3
2011-02-05,12,52,0.22,3
2011-02-05,13,72,0.22,3
2011-02-05,14,55,0.22,3
2011-02-05,15,60,0.22,3
2011-02-05,16,71,0.22,3
2011-02-05,17,78,0.24,2
2011-02-05,18,83,0.28,2
2011-02-05,19,84,0.28,2
2011-02-05,20,69,0.3,1
2011-02-05,21,56,0.26,1
2011-02-05,22,45,0.26,1
2011-02-05,23,59,0.26,1
2011-02-06,0,39,0.26,1
2011-02-06,1,44,0.26,1
2011-02-06,2,20,0.26,1
2011-02-06,3,13,0.26,1
2011-02-06,4,2,0.26,1
2011-02-06,5,1,0.26,1
2011-02-06,6,1,0.26,1
2011-02-06,7,8,0.24,1
2011-02-06,8,23,0.24,1
2011-02-06,9,45,0.28,1
2011-02-06,10,89,0.3,1
2011-02-06,11,117,0.32,1
2011-02-06,12,174,0.34,1
2011-02-06,13,182,0.34,1
2011-02-06,14,161,0.34,1
2011-02-06,15,182,0.34,1
